tconst,averagerating,numvotes
tt0099739,5.8,31480
tt0099740,5.9,16007
tt0099741,4.7,114
tt0099742,4.4,544
tt0099743,4.4,947
tt0099746,8.3,9
tt0099747,6.1,8342
tt0099748,6.2,10
tt0099749,4.1,534
tt0099750,5.5,3850
tt0099751,6.8,208
tt0099752,6.0,81
tt0099753,6.8,1097
tt0099754,6.0,26
tt0099755,7.5,39
tt0099757,4.2,624
tt0099758,5.7,69
tt0099759,6.4,39
tt0099760,6.1,48
tt0099761,6.0,15
tt0099762,6.3,13849
tt0099763,7.0,38850
tt0099764,6.1,539
tt0099765,8.2,94
tt0099766,6.6,49
tt0099767,7.5,59
tt0099768,6.9,4402
tt0099771,7.2,54
tt0099772,6.1,403
tt0099773,6.6,45
tt0099774,7.6,6
tt0099775,4.6,107
tt0099776,7.6,17020
tt0099777,4.3,25
tt0099778,7.0,20
tt0099779,6.9,14
tt0099780,6.0,56
tt0099781,7.9,17
tt0099782,6.6,27
tt0099783,3.4,176
tt0099784,7.2,26
tt0099785,7.7,609304
tt0099786,7.1,115
tt0099787,5.6,220
tt0099788,7.5,28
tt0099789,5.5,224
tt0099790,4.9,368
tt0099791,5.5,455
tt0099793,6.2,167
tt0099795,5.4,9
tt0099796,6.2,156
tt0099797,6.4,12889
tt0099799,5.0,17
tt0099800,6.5,16173
tt0099802,6.7,253
tt0099804,5.1,189
tt0099805,6.2,32
tt0099806,3.2,10
tt0099807,5.5,64
tt0099808,5.2,64
tt0099809,6.7,491
tt0099810,7.5,208258
tt0099811,7.7,68
tt0099812,5.7,3816
tt0099814,4.3,455
tt0099816,6.5,3027
tt0099817,6.1,13141
tt0099818,7.2,6649
tt0099819,6.4,15112
tt0099822,4.9,846
tt0099824,5.6,113
tt0099825,2.0,1150
tt0099826,5.1,1187
tt0099827,6.0,567
tt0099829,5.5,286
tt0099831,6.8,22
tt0099832,5.7,1432
tt0099834,4.4,42
tt0099836,6.6,310
tt0099837,6.6,108
tt0099838,7.0,52
tt0099839,5.5,245
tt0099840,5.1,15
tt0099841,5.1,352
tt0099842,7.1,564
tt0099843,5.1,247
tt0099844,7.0,1867
tt0099845,7.2,162
tt0099846,6.0,141
tt0099849,4.2,165
tt0099850,6.5,21741
tt0099851,8.7,3176
tt0099853,4.2,185
tt0099854,7.6,100
tt0099855,4.3,46
tt0099856,4.2,3336
tt0099857,6.9,633
tt0099858,6.5,759
tt0099859,5.4,82
tt0099860,6.7,155
tt0099861,5.8,16
tt0099862,4.7,38
tt0099864,6.8,135343
