nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0816022,Philippe Soutan,\N,\N,"actor,writer,script_department","tt5687040,tt1015981,tt0093030,tt0414852"
nm0816041,Frank South,\N,\N,"producer,writer,miscellaneous","tt0103491,tt0166044,tt0096542,tt0103425"
nm0816110,Lynne Southerland,\N,\N,"producer,editor,editorial_department","tt0279967,tt0208185,tt0103783,tt0111996"
nm0816181,Brian Southwood,\N,\N,actor,"tt0075561,tt0084053,tt0081868,tt0053494"
nm0816188,John Southworth,1929,2004,actor,"tt0053494,tt1343014,tt1676864,tt0989125"
nm0816430,Hale Soygazi,1950,\N,"actress,art_department","tt0253779,tt0183459,tt14237752,tt0200490"
nm0816468,Danio Spaccapeli,\N,\N,"editor,editorial_department","tt0232601,tt5359590,tt0082827,tt0156253"
nm0816481,John Spacely,\N,1992,"actor,miscellaneous","tt0218057,tt0100692,tt0091954,tt0088179"
nm0816577,Thaddeus Spae,\N,\N,composer,tt0088941
nm0816627,Ettore Spagnuolo,\N,\N,"producer,miscellaneous","tt0092516,tt0266929,tt0095212,tt0090166"
nm0816635,Afrim Spahiu,1951,\N,"cinematographer,camera_department","tt0273628,tt0084947,tt0494841,tt0388215"
nm0816679,Mark Spain,1971,\N,actor,"tt3952162,tt0080842,tt0089530,tt0140761"
nm0816788,Ron Spang,\N,\N,"editor,editorial_department","tt0094963,tt0083943,tt0079367,tt0107808"
nm0816842,Maarten Spanjer,1952,\N,actor,"tt0382960,tt0094494,tt0791162,tt0149454"
nm0816877,Joseph Spano,\N,\N,"actor,soundtrack","tt0089059,tt0101129,tt0098787,tt0108709"
nm0817110,Sharolyn Sparrow,\N,\N,actress,"tt0093741,tt0109578,tt0088591,tt0094137"
nm0817112,Walter Sparrow,1927,2000,"actor,music_department,soundtrack","tt0108071,tt0102798,tt0120631,tt0114011"
nm0817120,George Spartels,1954,\N,actor,"tt0138531,tt0088212,tt0090439,tt0089530"
nm0817121,Joe Sparton,\N,\N,writer,tt0082360
nm0817131,Milan Spasic,1945,\N,"cinematographer,camera_department,producer","tt0420341,tt0169145,tt0204551,tt0174353"
nm0817196,Andrea Spatzek,1959,\N,actress,"tt0088554,tt0111981,tt14130176,tt0115347"
nm0817228,Colin Spaull,1944,\N,actor,"tt1339215,tt0196252,tt1591533,tt0436992"
nm0817241,Monique Spaziani,1957,\N,actress,"tt0082055,tt0089567,tt1424797,tt0095891"
nm0817295,David Spear,1953,\N,"music_department,composer,soundtrack","tt0087332,tt0082509,tt0092086,tt0080339"
nm0817348,David Spears,\N,\N,"camera_department,cinematographer","tt0760222,tt1623136,tt0083452,tt0087665"
nm0817386,Ross Spears,1947,\N,"director,editor,writer","tt0080337,tt0311899,tt0144282,tt0105609"
nm0817435,Linda Speciale,\N,\N,actress,"tt0086264,tt0090417,tt0903747"
nm0817457,Katherine Specktor,\N,\N,writer,"tt0084273,tt0092782"
nm0817572,Martin M. Speer,\N,\N,"producer,director","tt0086787,tt0159922,tt0085650"
nm0817630,Leslie Speights,1958,\N,actress,"tt0091123,tt0086050,tt0139769,tt0081930"
nm0817801,Michael Spence,\N,\N,"editor,director,writer","tt0101797,tt0095390,tt0087344,tt0487400"
nm0817807,Peter Spence,\N,\N,"actor,miscellaneous,producer","tt2554274,tt0330171,tt1104806,tt1114706"
nm0817842,Gil Spencer Jr.,\N,\N,writer,tt0087336
nm0817900,Colin Spencer,\N,\N,writer,"tt1400912,tt1132136,tt0088928"
nm0818098,Scott Spencer,1945,\N,"writer,actor","tt2318092,tt0082329,tt0106877,tt0084714"
nm0818233,Mike Spera,\N,2012,"camera_department,cinematographer,producer","tt0935075,tt0086263,tt0981057,tt0084867"
nm0818261,Alberto Speratti,\N,\N,writer,tt0083581
nm0818265,Elaine Sperber,\N,\N,"producer,writer,production_manager","tt0426721,tt4205332,tt0106868,tt2953278"
nm0818274,Wendie Jo Sperber,1958,2005,"actress,soundtrack","tt0086927,tt0099088,tt0078723,tt0088763"
nm0818310,David Sperling,\N,\N,"cinematographer,camera_department,sound_department","tt0191731,tt1615147,tt0413852,tt0082841"
nm0818496,Radoslav Spitzmuller,1925,2016,actor,"tt0094914,tt0079645,tt0098777,tt0084823"
nm0818498,Vlasta Spicnerová,1953,\N,actress,"tt0491650,tt0085527,tt0259525,tt2718418"
