tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0098963,movie,1871,1871,0,1990,\N,100,"Drama,History,Romance"
tt0098965,movie,Little Ninjas,Little Ninjas,0,1993,\N,100,"Action,Adventure,Comedy"
tt0098966,movie,Three Men and a Little Lady,3 Men and a Little Lady,0,1990,\N,104,"Comedy,Drama,Family"
tt0098967,movie,Boiling Point,3-4 x jûgatsu,0,1990,\N,96,"Action,Comedy,Crime"
tt0098968,tvMovie,83 Hours 'Til Dawn,83 Hours 'Til Dawn,0,1990,\N,90,"Crime,Thriller"
tt0098970,movie,Alone Together,A solas contigo,0,1990,\N,98,Thriller
tt0098971,movie,Saga of the Phoenix,A Xiu Luo,0,1989,\N,93,"Action,Adventure,Fantasy"
tt0098972,movie,Tales of a Golden Geisha,Ageman,0,1990,\N,114,"Comedy,Drama"
tt0098974,movie,Die Aids-Trilogie: Feuer unterm Arsch - Vom Leben und Sterben schwuler Männer in Berlin,Die Aids-Trilogie: Feuer unterm Arsch - Vom Leben und Sterben schwuler Männer in Berlin,0,1990,\N,50,\N
tt0098976,movie,Aaj Ka Arjun,Aaj Ka Arjun,0,1990,\N,164,"Action,Crime,Drama"
tt0098978,movie,Abschiedsdisco,Abschiedsdisco,0,1990,\N,91,"Drama,Family"
tt0098980,movie,"Ach, Boris...","Ach, Boris...",0,1990,\N,85,Drama
tt0098981,movie,Der achte Tag,Der achte Tag,0,1990,\N,99,Sci-Fi
tt0098982,tvMovie,Act of Necessity,Act of Necessity,0,1991,\N,90,Drama
tt0098983,movie,Act of Piracy,Act of Piracy,0,1988,\N,96,"Action,Crime,Thriller"
tt0098986,movie,Adrénaline,Adrénaline,0,1990,\N,77,Horror
tt0098987,movie,The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,0,1990,\N,104,"Action,Adventure,Comedy"
tt0098988,movie,Aferisty,Aferisty,0,1990,\N,84,Comedy
tt0098989,movie,Life Is Like a Cucumber,Affengeil,0,1990,\N,87,"Biography,Documentary"
tt0098990,movie,Afghan Breakdown,Afganskiy izlom,0,1991,\N,140,War
tt0098991,movie,L'africana,L'africana,0,1990,\N,105,Drama
tt0098992,movie,Afrika um die Ecke,Afrika um die Ecke,0,1990,\N,65,Documentary
tt0098993,movie,Time Off,After,0,1990,\N,45,"Action,Drama,Romance"
tt0098994,movie,"After Dark, My Sweet","After Dark, My Sweet",0,1990,\N,114,"Crime,Drama,Mystery"
