tconst,ordering,nconst,category,job,characters
tt0051343,8,nm0451164,composer,\N,\N
tt0051343,9,nm0348470,cinematographer,\N,\N
tt0051344,10,nm0548338,production_designer,\N,\N
tt0051344,1,nm0000543,actor,\N,"[""Aladdin""]"
tt0051344,2,nm0016402,actress,\N,"[""Princess Ming Chou""]"
tt0051344,3,nm0454651,actor,\N,"[""Astrologer""]"
tt0051344,4,nm0001651,actor,\N,"[""Emperor""]"
tt0051344,5,nm0625680,director,\N,\N
tt0051344,6,nm0673279,writer,story,\N
tt0051344,7,nm0506851,producer,producer,\N
tt0051344,8,nm0305426,composer,\N,\N
tt0051344,9,nm0006234,composer,\N,\N
tt0051345,10,nm0431803,editor,\N,\N
tt0051345,1,nm0687173,actor,\N,"[""Aleksa Dundic""]"
tt0051345,2,nm0683391,actress,\N,"[""Galya""]"
tt0051345,3,nm0033014,actor,\N,"[""Rasovic""]"
tt0051345,4,nm0070524,actor,\N,"[""Mali Mirko""]"
tt0051345,5,nm0525725,director,\N,\N
tt0051345,6,nm0410666,writer,writer,\N
tt0051345,7,nm0441480,writer,writer,\N
tt0051345,8,nm0091906,composer,\N,\N
tt0051345,9,nm0456392,cinematographer,\N,\N
tt0051346,10,nm0337898,composer,\N,\N
tt0051346,1,nm0861345,actress,\N,"[""Dora""]"
tt0051346,2,nm0365692,actress,\N,"[""Rosie""]"
tt0051346,3,nm0936115,actress,\N,"[""Mabel""]"
tt0051346,4,nm0391361,actor,\N,"[""MacDonagh""]"
tt0051346,5,nm0291201,director,\N,\N
tt0051346,6,nm0227785,writer,based on an idea by,\N
tt0051346,7,nm0615486,writer,based on an idea by,\N
tt0051346,8,nm0134043,writer,screenplay,\N
tt0051346,9,nm0804975,producer,producer,\N
tt0051347,10,nm3274617,actor,\N,"[""Ein Knabe""]"
tt0051347,1,nm0449999,actor,\N,"[""Apollo""]"
tt0051347,2,nm0717814,actor,\N,"[""Der Tod""]"
tt0051347,3,nm1022533,actor,\N,"[""Ein alter Nachtwächter""]"
tt0051347,4,nm0083619,actress,\N,"[""Alkestis""]"
tt0051347,5,nm0777793,director,\N,\N
tt0051347,6,nm0928642,writer,play,\N
tt0051347,7,nm1283252,writer,translation,\N
tt0051347,8,nm0388682,actress,\N,"[""Aglaja""]"
tt0051347,9,nm0395859,actor,\N,"[""Teiresias""]"
tt0051348,10,nm0907888,actor,\N,"[""Ustad""]"
tt0051348,1,nm0007147,actor,\N,"[""Ashok""]"
tt0051348,2,nm0904537,actress,\N,"[""Aruna""]"
tt0051348,3,nm0655803,actress,\N,"[""Roopa""]"
tt0051348,4,nm0695199,actor,\N,"[""Pran""]"
tt0051348,5,nm0695153,director,\N,\N
tt0051348,6,nm1213297,producer,producer,\N
tt0051348,7,nm2217259,producer,producer,\N
tt0051348,8,nm0708128,composer,\N,\N
tt0051348,9,nm0898565,cinematographer,director of photography,\N
